"","pres","vol","n","temp"
"1",99000,0.0244,0.8,362.750906395979
"2",99250,0.0244,0.8,364.859514905652
"3",99500,0.0244,0.8,364.582120921808
"4",99750,0.0244,0.8,364.112614535576
"5",1e+05,0.0244,0.8,366.267457183443
"6",100250,0.0244,0.8,362.663920303101
"7",100500,0.0244,0.8,367.647835905985
"8",100750,0.0244,0.8,370.49386846916
"9",101000,0.0244,0.8,370.16049324937
"10",101250,0.0244,0.8,372.79274500731
"11",101500,0.0244,0.8,373.305131195089
"12",101750,0.0244,0.8,374.541536584204
"13",102000,0.0244,0.8,375.479409745896
"14",102250,0.0244,0.8,371.607235097449
"15",102500,0.0244,0.8,376.009792744587
"16",102750,0.0244,0.8,380.178684818116
"17",103000,0.0244,0.8,376.874656459166
"18",103250,0.0244,0.8,379.658308562449
"19",103500,0.0244,0.8,379.95656790392
"20",103750,0.0244,0.8,381.700881656689
"21",104000,0.0244,0.8,380.959873736324
"22",104250,0.0244,0.8,381.124412141986
"23",104500,0.0244,0.8,383.482009188102
"24",104750,0.0244,0.8,384.67079392513
"25",105000,0.0244,0.8,384.801576448708
"26",99000,0.0244,0.9,322.873902382154
"27",99250,0.0244,0.9,324.448904265574
"28",99500,0.0244,0.9,322.889011963359
"29",99750,0.0244,0.9,327.535914404771
"30",1e+05,0.0244,0.9,330.473258977959
"31",100250,0.0244,0.9,329.841328440027
"32",100500,0.0244,0.9,326.793261427233
"33",100750,0.0244,0.9,324.871501936675
"34",101000,0.0244,0.9,329.44085173505
"35",101250,0.0244,0.9,331.90818160813
"36",101500,0.0244,0.9,332.519027908885
"37",101750,0.0244,0.9,329.318500309681
"38",102000,0.0244,0.9,330.366876183709
"39",102250,0.0244,0.9,333.675841821042
"40",102500,0.0244,0.9,335.475694588132
"41",102750,0.0244,0.9,336.78457457118
"42",103000,0.0244,0.9,337.486674547438
"43",103250,0.0244,0.9,334.733118951718
"44",103500,0.0244,0.9,334.859039169343
"45",103750,0.0244,0.9,334.274389071915
"46",104000,0.0244,0.9,340.12447336938
"47",104250,0.0244,0.9,341.586010451555
"48",104500,0.0244,0.9,341.416668043757
"49",104750,0.0244,0.9,339.441897120176
"50",105000,0.0244,0.9,345.510758858188
"51",99000,0.0244,1,289.789625698165
"52",99250,0.0244,1,294.821657081365
"53",99500,0.0244,1,293.100045780017
"54",99750,0.0244,1,295.111524471509
"55",1e+05,0.0244,1,294.125769045408
"56",100250,0.0244,1,294.068921548102
"57",100500,0.0244,1,292.906791279037
"58",100750,0.0244,1,294.548520446883
"59",101000,0.0244,1,296.304994566195
"60",101250,0.0244,1,297.6970197862
"61",101500,0.0244,1,297.80009463705
"62",101750,0.0244,1,298.244250495007
"63",102000,0.0244,1,299.70082691856
"64",102250,0.0244,1,299.018773210963
"65",102500,0.0244,1,299.729303794961
"66",102750,0.0244,1,298.62343071581
"67",103000,0.0244,1,303.96104447114
"68",103250,0.0244,1,303.096027678089
"69",103500,0.0244,1,303.568575886714
"70",103750,0.0244,1,302.9876485355
"71",104000,0.0244,1,304.707599448728
"72",104250,0.0244,1,303.763242876612
"73",104500,0.0244,1,304.571875294791
"74",104750,0.0244,1,303.566227867565
"75",105000,0.0244,1,310.101190367757
"76",99000,0.0244,1.1,264.370036297828
"77",99250,0.0244,1.1,262.551520301958
"78",99500,0.0244,1.1,267.779611180088
"79",99750,0.0244,1.1,267.368186258863
"80",1e+05,0.0244,1.1,268.270732360823
"81",100250,0.0244,1.1,267.001391597298
"82",100500,0.0244,1.1,267.274153637541
"83",100750,0.0244,1.1,268.590756766229
"84",101000,0.0244,1.1,270.263208802246
"85",101250,0.0244,1.1,271.720621622582
"86",101500,0.0244,1.1,273.966695628743
"87",101750,0.0244,1.1,270.436581440084
"88",102000,0.0244,1.1,270.090557671584
"89",102250,0.0244,1.1,272.990369418637
"90",102500,0.0244,1.1,279.499825377526
"91",102750,0.0244,1.1,273.265350236307
"92",103000,0.0244,1.1,277.080909281573
"93",103250,0.0244,1.1,274.970315346363
"94",103500,0.0244,1.1,275.166390209534
"95",103750,0.0244,1.1,275.369607360176
"96",104000,0.0244,1.1,277.034917268685
"97",104250,0.0244,1.1,281.4079403854
"98",104500,0.0244,1.1,279.395029804305
"99",104750,0.0244,1.1,280.432959529138
"100",105000,0.0244,1.1,281.802737787101
